Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.07,1.23,0.02,-9.89,-1.99,-13.58
0.01,1.17,0.04,-13.61,-2.21,-14.32
-0.02,1.08,0.06,-14.48,-2.79,-11.73
-0.04,0.97,0.07,-13.06,-2.19,-9.9
-0.06,0.85,0.08,-10.68,-1.07,-8.37
-0.06,0.73,0.11,-7.63,-1.24,-6.13
-0.04,0.62,0.11,-5.65,-3.85,-4.31
-0.04,0.53,0.09,-4.22,-8.98,-2.67
-0.05,0.49,0.07,-3.79,-15.7,-1.5
-0.06,0.41,0.13,-6.62,-21.52,-0.66
-0.07,0.39,0.12,-9.92,-26.45,0.92
-0.05,0.41,0.13,-10.71,-30.31,4.97
-0.04,0.47,0.15,-7.23,-33.89,11.03
-0.08,0.57,0.18,-1.62,-31.95,14.66
-0.10,0.7,0.17,3.53,-29.1,9.09
-0.05,0.9,0.1,13.01,-24.02,15.56
-0.05,1.05,0.16,16.37,-15.86,12.73
-0.05,1.23,0.04,15.27,-5.24,6.71
0.07,1.49,0.03,15.52,1.88,2.47
0.14,1.52,0.15,10.02,-1.95,-9.82
0.24,1.58,0.23,-3.15,-13.49,-2.01
0.25,1.58,0.3,-13.24,-17.11,0.14
0.19,1.55,0.28,-16.15,-17.59,-3.17
0.13,1.51,0.25,-16.15,-7.02,-4.02
0.09,1.45,0.28,-13.85,-5.54,-11.35
0.05,1.38,0.23,-12.02,-5.37,-10.14
0.03,1.34,0.18,-6.75,-7.01,-10.94
0.03,1.25,0.13,-1.49,-8.5,-13.22
0.00,1.13,0.11,2.59,-10.34,-16.98
-0.03,0.96,0.07,3.4,-9.69,-17.79
-0.04,0.83,0.08,1.08,-7.27,-13.98
-0.04,0.69,0.05,-2.42,-4.21,-7.15
-0.03,0.58,0.04,-5.56,0.26,-0.98
-0.01,0.49,0.04,-6.95,3.34,5.53
0.00,0.44,0,-7.6,10.94,11.93
0.00,0.41,0,-5.51,18.69,18.3
-0.02,0.37,-0.02,-1.25,23.6,21.9
-0.06,0.38,0,1.92,28.26,23.34
-0.11,0.37,-0.02,6.31,38.6,21.01
-0.14,0.44,-0.04,8.77,48.06,15.24
-0.16,0.55,-0.03,8.49,53.72,0.75
-0.17,0.74,-0.03,5.21,56.24,-11.34
-0.10,1.03,0.04,-1.21,54.92,-15.31
-0.05,1.26,0.12,-10.8,49.02,-13.5
0.02,1.48,0.15,-17.48,38.53,-6.24
0.05,1.66,0.11,-16.43,31.02,7.39
0.01,1.67,0.08,-9.11,29.11,13.85
0.05,1.65,0.11,-0.42,26.79,11.2
0.03,1.57,0.03,6.38,27.5,3.5
0.07,1.53,0.03,8.95,24.6,-1.49
0.11,1.46,0.04,9.2,20.7,4.41
0.11,1.39,0.06,6.18,16.6,10.56
0.09,1.33,0.06,2.93,13.53,12.76
0.07,1.29,0.06,3.15,9.9,10.11
0.06,1.22,0.03,5.5,5.94,6.24
0.03,1.13,0.03,7.47,4.4,3.69
0.00,1,0.06,8.42,2.69,0.06
-0.06,0.9,0.03,9.17,4.33,-4.03
-0.08,0.77,0.01,8.53,6.48,-4.02
-0.09,0.68,0,6.83,8.46,-3.65
-0.07,0.59,0.02,4.69,10.19,-0.47
-0.09,0.5,0.02,2.59,9.57,0.18
-0.08,0.44,0.05,0.74,7.36,-0.92
-0.08,0.43,0.07,-1.3,3.47,-2.64
-0.08,0.44,0.09,-2.03,-0.48,-1.65
-0.04,0.45,0.11,-1.47,-6.61,3.5
-0.02,0.5,0.14,-0.17,-10.4,9.44
-0.03,0.58,0.18,1.78,-13.31,16.27
-0.06,0.67,0.19,3.86,-14.17,16.18
-0.09,0.79,0.2,5.82,-15.18,8.08
-0.07,0.92,0.19,6.69,-15.62,-2.85
-0.04,1.12,0.17,5.68,-17.02,-11.76
0.00,1.33,0.14,3.53,-19.5,-18.91
0.02,1.55,0.13,4.2,-27.24,-13.84
0.11,1.51,0.27,-1.96,-27.37,1.23
0.11,1.48,0.26,-7.66,-30.78,4.47
0.11,1.46,0.18,-9.63,-31.08,3.93
0.11,1.42,0.15,-8.21,-29.93,3.36
0.09,1.39,0.12,-5.86,-28.24,-0.94
0.09,1.39,0.11,-4.74,-23.15,1.81
0.08,1.39,0.08,-3.4,-19.92,-1.82
0.08,1.34,0.11,-4.87,-15.78,-1.85
0.06,1.24,0.04,-6.44,-12.13,-1.95
0.02,1.15,0.08,-6.74,-9.02,-1.91
0.02,1.06,0.08,-4.92,-7.85,-0.86
0.01,0.94,0.08,-4.2,-5.88,-1.72
0.01,0.86,0.08,-4.4,-3.84,-0.58
0.02,0.76,0.08,-3.55,-1.46,-0.14
0.00,0.68,0.11,-4.47,0.47,-1.48
0.00,0.61,0.05,-5.13,7.98,1.95
0.01,0.59,0.04,-4.24,14.49,2.57
0.01,0.53,0.01,-2.69,24.62,1.95
0.00,0.49,-0.05,-0.29,37.43,3.04
-0.03,0.46,-0.08,2.69,50.31,1.65
-0.09,0.47,-0.07,6.66,62.85,1.21
-0.13,0.5,-0.05,8.16,72.57,-0.84
-0.16,0.6,-0.08,8.74,78.66,-2.37
-0.14,0.8,-0.07,6.79,77.13,-13.53
-0.06,1.05,-0.08,3.65,66.05,-29.85
-0.06,1.27,0.07,-6.64,59.95,-39.66
-0.01,1.47,0.07,-10.24,53.07,-15.02
-0.01,1.53,0.08,-10.74,49.93,3.19
0.06,1.45,0.09,-8.25,45.39,18.98
0.08,1.4,0.1,-2.6,44.38,22.2
0.08,1.33,0.07,1.95,45.77,18.46
0.11,1.33,0.09,5.09,41.11,16.91
0.10,1.3,0.08,5.68,34.03,13.28
0.07,1.27,0.04,3.69,25.97,8.93
0.05,1.26,0,1.36,18.66,5.86
0.06,1.25,0,-0.85,11.13,2.64
0.03,1.21,0,-1.63,7.87,0.25
0.03,1.15,0.03,-0.73,6.56,-1.69
0.00,1.12,0.05,0.79,7.42,-2.96
-0.01,1.01,0.06,1.5,8.76,-4.6
-0.01,0.93,0.07,1.54,6.56,-3.46
-0.02,0.85,0.1,0.53,2.38,-2.82
-0.02,0.79,0.11,-0.28,-3.71,-3.11
-0.05,0.73,0.1,-1.29,-9.66,-3.32
-0.07,0.66,0.13,-2.5,-18.74,-3.98
-0.05,0.61,0.18,-3.33,-28,-0.99
-0.07,0.57,0.19,-5.37,-35.43,2.39
-0.05,0.56,0.16,-7.63,-42.28,6.44
-0.06,0.59,0.17,-5.27,-48.63,10.36
-0.06,0.58,0.16,-2.25,-54.05,12.15
-0.08,0.61,0.17,0.02,-60.29,14.27
-0.11,0.67,0.16,-0.5,-65.34,14.32
-0.12,0.79,0.17,-4.6,-65.87,12.56
-0.08,0.99,0.15,-8.41,-63.69,8.88
-0.03,1.18,0.12,-10.24,-59.65,4.45
0.02,1.37,0.08,-9.82,-56.42,0.87
0.04,1.4,0.02,-3.89,-40.94,10.82
0.11,1.45,0.01,1.38,-40.49,12.34
0.15,1.46,0.03,0.87,-38.67,15.92
0.17,1.46,0.05,-3.63,-29.23,14.44
0.21,1.46,0.05,-8.14,-16.09,12.2
0.17,1.41,0.08,-9.83,-6.55,6.56
0.13,1.36,0.1,-9.48,0.59,-0.66
0.11,1.3,0.11,-9.11,8.01,-6.79
0.11,1.25,0.12,-8.14,14.7,-10.34
0.08,1.19,0.11,-5.4,19.31,-10.21
0.06,1.09,0.11,-2.26,20.04,-9.43
0.03,1,0.1,0.38,21.39,-9.07
-0.01,0.87,0.07,2.35,23.05,-11.64
0.00,0.78,0.08,3.12,23.53,-11.11
0.00,0.68,0.07,3.04,22.19,-6.1
-0.02,0.59,0.06,3.63,21.11,-3.06
0.02,0.52,0.09,4.63,21.25,2.05
0.03,0.49,0.09,5.46,26.46,9.06
0.01,0.49,0.08,5.56,34.19,14.4
-0.02,0.47,0.04,7.21,45.95,20.5
-0.04,0.46,0.06,9.65,52.39,24.18
-0.11,0.48,0.03,12.02,58.3,21.88
-0.08,0.63,0.05,12.33,53.89,15.66
-0.16,0.68,-0.03,11.18,50.9,4.95
-0.14,0.81,-0.01,9.24,43.3,-3.89
-0.16,0.91,0.01,6.73,28.53,-8.5
-0.11,1.05,0.06,2.81,11.37,-10.92
-0.02,1.21,0.16,-2.94,-4.21,-18.68
0.08,1.39,0.22,-12.35,-3.36,-22.75
0.20,1.58,0.18,-8.82,2.73,-4.75
0.21,1.58,0.17,-1.69,8.94,4.77
0.17,1.5,0.06,9.2,1.16,6.05
0.17,1.43,0.04,13.47,-6.27,10.38
0.11,1.38,-0.05,12.96,-11.19,3.56
0.11,1.37,-0.06,9.45,-20.15,-2.06
0.10,1.39,-0.06,4.99,-29.14,-3.32
0.08,1.4,-0.07,1.02,-36.85,-3.07
0.04,1.39,-0.05,-2.79,-42.87,-1.28
0.01,1.32,-0.01,-5.24,-42.42,-1.56
-0.03,1.2,0.01,-5.88,-38.56,-4.27
-0.06,1.08,0.03,-5.71,-35.21,-3.45
-0.08,0.93,0.04,-5.17,-30.89,-3.76
-0.09,0.82,0.05,-5.05,-27.45,-5.56
-0.12,0.7,0.02,-4.79,-25.18,-6.53
-0.16,0.61,0,-6.34,-23.6,-11.84
-0.15,0.52,-0.01,-8.11,-26.54,-11.26
-0.14,0.47,-0.01,-9.58,-31.15,-10.29
-0.14,0.43,0.01,-10.89,-37.27,-6.44
-0.12,0.41,0.05,-11.38,-43.13,-3.95
-0.10,0.42,0.04,-11.24,-44.92,-3.82
-0.04,0.5,0.07,-10.65,-43.88,-1.56
0.04,0.64,0.17,-15.53,-48.37,1.19
0.07,0.8,0.1,-13.64,-21.18,17.63
0.02,0.94,0.04,-9.11,-10.78,15.29
0.01,1.13,0.01,-4.12,-1.96,13.4
0.09,1.26,-0.05,-0.22,9.72,20.56
0.17,1.31,-0.05,3.29,16.93,26.2
0.21,1.32,0.04,3.47,16.22,25.54
0.25,1.28,0.1,-3.85,16.12,24.14
0.24,1.3,0.17,-9.74,15.32,15.92
0.25,1.34,0.22,-13.81,16.12,10.46
0.19,1.34,0.23,-11.73,16.55,6.25
0.19,1.36,0.28,-6.98,17.28,-0.46
0.14,1.39,0.3,-3.87,17.47,-5.11
0.13,1.34,0.27,-1.31,17.58,-13.73
0.11,1.3,0.23,2.41,16.37,-16.46
0.08,1.23,0.17,6.55,15.27,-14.07
0.03,1.1,0.16,8.22,7.19,-11.56
0.01,1,0.14,8.66,1.17,-8.05
0.01,0.86,0.12,7.04,-2.89,-3.05
0.00,0.74,0.12,4.04,-5.31,-0.11
0.02,0.62,0.1,1.47,-6.73,1.97
0.03,0.54,0.11,-1.5,-7,2.99
0.05,0.51,0.13,-3.29,-2.54,7.97
0.00,0.51,0.06,-1.44,7.56,10.71
-0.01,0.49,0.13,3.16,11.66,16
-0.04,0.5,0.08,8.37,19.37,19.59
-0.07,0.49,0.08,12.36,24.27,22.27
-0.13,0.55,0.03,13.73,27.23,25.18
-0.19,0.63,-0.01,11.47,24.89,22.02
-0.20,0.73,-0.05,7.53,20.94,11.79
-0.23,0.9,-0.05,0.02,11.79,-6.48
-0.17,1.09,-0.05,-9.4,3.31,-32.51
0.04,1.48,-0.04,-16.25,5.03,-51.52
0.27,1.84,-0.02,-14.54,7.21,-37.95
0.25,1.87,-0.06,-7.37,5.12,-22.39
0.15,1.77,-0.08,2.75,8.61,-15.28
0.10,1.62,-0.1,9.7,11.71,-10.1
0.08,1.45,-0.09,11.01,16.69,-0.63
0.08,1.35,-0.06,9.71,17.75,10.48
0.06,1.27,-0.05,7.63,16.94,12.97
0.04,1.19,-0.02,5.91,14.15,7.81
0.02,1.11,0,4.95,10.98,2.29
0.00,0.99,0.02,4.08,8.82,0.11
-0.01,0.9,0.07,2.9,6.08,1.1
-0.03,0.82,0.09,1.53,2.53,5.61
-0.02,0.74,0.14,-0.66,-1.51,9.32
-0.06,0.65,0.16,-3.76,-6.86,14.34
-0.04,0.59,0.15,-5.83,-8.81,20.09
-0.04,0.55,0.17,-8.12,-19.22,24.01
-0.10,0.53,0.13,-7.84,-24.94,18.58
-0.10,0.53,0.15,-5.97,-33.46,15.55
-0.11,0.52,0.16,-5.63,-38.37,11.92
-0.11,0.55,0.2,-4.97,-44.9,14.68
-0.10,0.61,0.23,-4.47,-46.21,17.54
-0.14,0.72,0.18,-3.79,-42.12,18.63
-0.14,0.88,0.14,-1.34,-42.13,13.11
-0.07,1.02,0.14,-3.64,-29.1,18.82
-0.02,1.28,0.1,-3.53,-20.13,7.73
0.07,1.41,0.03,-2.6,-12.2,0.98
0.25,1.55,0.08,-3.64,-9.26,2.37
0.35,1.54,0.16,-10.28,-15.63,4.69
0.32,1.53,0.14,-14.66,-17.08,-2.11
0.30,1.49,0.14,-15.82,-11.48,-4.42
0.27,1.45,0.17,-13.07,-8.49,-9.95
0.21,1.35,0.15,-10.79,-0.71,-9.92
0.17,1.25,0.17,-8.89,8.58,-4.11
0.12,1.19,0.16,-7.04,13.86,0.68
0.11,1.09,0.14,-3.97,12.82,1.8
0.11,1,0.13,-0.21,11.51,1.42
0.06,0.91,0.11,3.08,11.11,-1.03
0.03,0.83,0.09,4.88,12.69,-3.33
0.02,0.76,0.08,4.63,14.11,-5.96
0.02,0.69,0.11,2.67,12.74,-6.55
0.00,0.63,0.07,0.43,14.6,-3.27
-0.01,0.6,0.09,-1.81,16.34,-1.18
0.00,0.59,0.08,-2.7,20.5,-0.27
0.01,0.59,0.06,-1.34,28.89,2.65
-0.02,0.59,0.06,2.31,32.69,7.6
-0.05,0.59,0,9.9,41.26,14.64
-0.05,0.61,0.01,17.09,43.89,16.96
-0.09,0.67,0,18.98,44.22,10.69
-0.11,0.78,0.04,13.98,39.85,-7.99
-0.11,0.91,0.02,5.81,36.11,-24.23
-0.02,1.08,0.02,-4.2,34.87,-23.5
0.05,1.23,-0.02,-11.89,34.65,-9.09
0.12,1.32,-0.02,-13.33,35.77,4.78
0.17,1.41,-0.07,-5.15,38.79,5.29
0.18,1.46,0.02,3.22,36.06,-3.66
0.16,1.5,0.02,7.41,32.44,-14.12
0.16,1.52,0.1,4.01,30.56,-19.27
0.14,1.5,0.14,-2.7,23.56,-20.47
0.10,1.48,0.13,-8.56,16,-15.08
0.09,1.43,0.11,-9.14,7.27,-6.56
0.08,1.37,0.11,-4.43,-2.01,1.55
0.05,1.24,0.11,1.47,-11.31,6.31
0.04,1.11,0.11,6.24,-19.88,8.43
0.03,1,0.11,10.21,-27.33,8.06
0.01,0.87,0.12,12.44,-34.64,6.9
-0.02,0.73,0.09,11.96,-41.89,4.71
-0.05,0.62,0.06,9.94,-48.71,0.69
-0.06,0.53,0.04,6.23,-52.91,-1.34
-0.06,0.49,0.02,1.26,-51.49,0.5
-0.05,0.46,0.01,-3.97,-50.99,4.51
-0.04,0.44,0.04,-8.15,-53.79,10.84
-0.04,0.43,0.05,-11.18,-56.19,17.68
-0.03,0.43,0.06,-12.47,-57.89,25.09
-0.04,0.51,0.05,-13.58,-56.89,32.77
-0.05,0.58,0.02,-14.02,-49.72,32.56
-0.02,0.77,0.04,-15.95,-36.15,25.05
0.07,0.98,-0.06,-11.45,-17.14,16.35
0.15,1.2,-0.03,-6.38,2.82,5.29
0.22,1.41,-0.01,-0.5,12.5,-8.7
0.32,1.57,0.01,1.82,13.98,-12.19
0.37,1.55,0.08,-5.11,13.69,-10.95
0.36,1.57,0.06,-12.56,17.43,-6.87
0.35,1.59,0.09,-16.08,17.72,-4.79
0.33,1.59,0.18,-17.56,25.83,-1.55
0.24,1.54,0.19,-15.68,26.9,-6.02
0.16,1.47,0.16,-10.28,28.16,-11.44
0.16,1.37,0.13,-4.44,34.56,-15.34
0.16,1.26,0.18,0.76,36.63,-18.66
0.14,1.16,0.12,2.95,37.81,-19.06
0.09,1.04,0.11,2.78,37.58,-16.53
0.02,0.89,0.06,3.11,33.58,-15.31
-0.02,0.73,0.07,5.1,29.87,-12.38
-0.04,0.59,0.04,4.89,25.78,-5.39
-0.01,0.47,0.11,3.47,24.23,-0.51
0.02,0.42,0.07,4.15,23.73,5.63
-0.01,0.32,0.07,7.29,26.06,16.71
0.02,0.33,0.07,11.37,37.47,26.08
0.00,0.37,0.08,14.6,45.94,29.88
-0.06,0.42,0.06,14.39,45.33,34.15
-0.17,0.55,0.1,11.83,39.56,24.41
-0.21,0.69,0.1,7.4,34.29,9.96
-0.22,0.76,0,4.16,16.26,-2.66
-0.03,1.04,0.11,-5.26,6.47,-3.69
0.09,1.3,0.24,-10.6,-0.37,2.99
0.16,1.44,0.13,-12.65,-6.21,10.28
0.18,1.49,0.12,-6.91,-6.99,15.06
0.13,1.48,0.09,4.68,-9.5,13.25
0.10,1.46,0.13,14.1,-12.66,9.5
0.12,1.44,0.04,16.86,-15,9.14
0.13,1.41,0,14.21,-18.84,9.79
0.16,1.42,-0.06,7.04,-22.24,8.01
0.13,1.4,-0.18,0.71,-29.77,6.18
0.13,1.37,-0.19,-5.27,-29.82,2.62
0.10,1.26,-0.15,-4.77,-19.52,-6.89
0.02,1.18,-0.02,-3.65,-24.66,1.06
-0.06,1.05,-0.02,-2.31,-20.79,2.46
-0.04,0.92,0.11,-2.02,-26.11,8.28
-0.09,0.81,0.02,-2.85,-21.91,8.79
-0.09,0.69,0.03,-5.4,-16.54,9.79
-0.09,0.58,-0.02,-8.99,-12.93,10.75
-0.09,0.51,-0.04,-10.92,-5.33,13.62
-0.07,0.43,-0.01,-12.4,-1.7,14.36
-0.04,0.37,0.02,-15.44,-0.97,16.54
0.00,0.37,0.01,-18.25,-4.21,25.75
0.04,0.45,0.03,-17.95,-7.97,33.47
0.05,0.49,0.11,-15.74,-14.07,33.4
0.07,0.63,0.12,-13.08,-8.14,23.81
-0.02,0.61,0.19,-22.14,-4.63,-11.45
0.05,1.02,0.04,-13.46,10.04,-25.36
0.13,1.27,0.07,-8.51,34.02,-40.07
0.27,1.55,0.08,-1.43,47.34,-34.53
0.35,1.58,0.1,4.76,41.16,-12.08
0.34,1.54,0.19,8.45,22.2,-1.68
0.28,1.5,0.26,5.95,9,-3.34
0.32,1.51,0.34,1.99,-4.31,6.73
-0.05,1.25,0.36,-3.86,-11.37,0.12
0.21,1.26,0.55,-12.6,-18,-1.92
0.18,1.27,0.44,-9.45,-20.98,6.64
0.28,1.29,0.33,-8.16,-24.2,8.8
0.10,1.14,0.2,-2.37,-23.89,-2.99
0.14,1.09,0.18,0.92,-22.6,-11.85
0.10,0.97,0.12,0.8,-19.11,-21.36
0.14,0.94,0.1,-2.17,-23.95,-5.1
0.10,0.8,0.02,-4.87,-25.36,6.18
0.07,0.65,0,-5.94,-28.45,3.62
0.06,0.58,0,-1.98,-28.7,0.81
0.08,0.56,0.01,2.36,-18.4,-3.75
0.13,0.62,0.06,6.35,-7.85,-8.08
0.11,0.67,0.04,12.28,4.53,-9.5
0.05,0.67,0.05,18.27,15.55,-2.07
-0.04,0.69,0.04,23.22,24.24,3.69
-0.05,0.78,0.08,22.55,37.44,-19
-0.03,0.72,-0.02,25.98,34.58,28.31
-0.24,0.62,-0.1,21.15,47.08,7.76
-0.16,0.81,-0.12,15.57,47.56,5.98
-0.14,0.8,-0.05,4.02,50.56,-22.7
-0.04,0.92,-0.09,-5.6,41.02,-22.27
-0.05,1.14,-0.39,-13.6,36.73,-31.77
0.16,1.32,0.08,-17.16,41.05,-37.05
0.37,1.59,0.22,-14.06,39.47,-44.75
0.11,1.56,0.08,-3.95,47.16,-42.86
0.09,1.63,-0.04,11.15,50.96,-33.43
0.13,1.61,-0.05,19.59,46.24,-14.03
0.08,1.5,-0.16,17.04,41.87,-2.22
0.05,1.33,-0.21,9.61,38.95,2.18
0.04,1.21,-0.15,0.67,39.21,-0.07
0.05,1.15,0,-5.42,35.43,0.87
0.02,1.13,0.07,-6.92,28.78,4.05
0.03,1.06,0.13,-4.66,20.62,8.16
-0.01,0.92,0.08,1.21,14.51,6.37
0.02,0.84,0.08,5.22,15.88,8.66
0.02,0.73,0.1,6.72,17.56,11.73
0.06,0.65,0.09,6.15,14.8,11.25
0.08,0.55,0.1,4.41,8.15,13.22
0.07,0.52,0.12,2.02,-3.16,16.34
0.04,0.47,0.17,-1.38,-13.84,21.56
0.03,0.42,0.22,-6.82,-22.7,26.3
0.04,0.43,0.21,-14.54,-32.69,30.83
-0.02,0.49,0.24,-20.59,-39.12,36.38
-0.08,0.54,0.22,-26.56,-41.95,38.4
-0.04,0.73,0.14,-29.78,-32.48,34.05
-0.11,0.82,0.04,-26.33,-19.78,-0.03
-0.15,1.08,-0.03,-14.76,-4.93,-54.09
0.17,1.46,0.11,-7.96,1.85,-84.91
0.36,1.77,0.37,-12.85,-7.85,-52.73
0.33,1.73,0.34,-17.92,-27.8,-9.71
0.22,1.67,0.28,-19.37,-45.11,8.18
0.17,1.52,0.14,-17.76,-45.87,7.25
0.12,1.45,0.03,-15.24,-49.76,10.97
0.21,1.34,0.1,-12.15,-39.15,12.47
0.21,1.33,0.13,-9.23,-36.51,-7.09
0.20,1.27,0.15,-4.06,-19.68,-16.7
0.17,1.21,0.11,-1.11,-7.52,-18.62
0.10,1.15,0.01,-0.37,0.06,-9.27
0.05,1.09,0.04,0.37,3.23,4.11
0.10,1.02,0.04,0.75,4.94,6.51
0.06,0.93,0.03,-0.03,7.85,12.04
0.06,0.82,0.07,1.09,10.35,15.15
0.06,0.66,0.13,1.66,12.31,19.4
0.05,0.54,0.21,3.5,13.66,14.79
-0.02,0.43,0.16,3,15.08,11.06
-0.03,0.34,0.09,1.62,24.66,2.71
0.04,0.35,0.08,5.33,39.98,11.09
0.05,0.39,0,10.47,46.52,29.01
-0.03,0.41,0,11.08,45.74,27.38
-0.15,0.53,0.05,11.26,33.61,29.41
-0.16,0.68,0.07,9.02,2.61,18.66
-0.15,0.84,0.06,3.87,-9.53,-1.79
-0.17,0.99,-0.01,-5.65,-0.95,-16.95
-0.09,1.14,-0.02,-15.57,26.51,-23.6
0.00,1.26,0.1,-20.61,18.04,-39.31
0.09,1.49,0.04,-14.5,0.3,-50.77
0.18,1.65,-0.02,-5.12,5.14,-34.11
0.07,1.71,-0.11,5.51,19.67,-15.13
0.15,1.61,-0.02,9.25,26.04,-4.66
0.15,1.5,-0.03,11.85,31.15,3.63
0.10,1.37,0.04,11.5,31.63,4.58
0.08,1.33,0.03,10.98,24.3,-0.16
0.09,1.29,0.02,10.61,16.53,-2.63
0.06,1.24,0.04,10.37,14.89,-5.56
0.09,1.16,0.08,11.18,8.73,-7.78
0.05,1.05,0.06,12.35,0.64,-8.21
0.03,0.96,0.12,11.24,-5.19,-2.26
0.00,0.87,0.11,9.75,-10.69,5.64
0.00,0.76,0.13,7.82,-20.44,12.93
0.03,0.66,0.18,5.56,-21.36,17.85
0.04,0.57,0.15,2.98,-20.88,22.23
0.02,0.53,0.12,-2.69,-20.37,26.6
-0.02,0.48,0.02,-6.21,-15.15,22.95
0.02,0.43,0.02,-9.27,-10.59,21.95
0.06,0.46,0.06,-12.76,-23,15.56
0.04,0.51,0.04,-11.15,-32.25,16.07
-0.01,0.61,0.04,-6.28,-36.8,8.8
-0.04,0.78,0,0.59,-34.62,-2.13
-0.03,0.91,-0.04,6.62,-27.44,-15.3
-0.02,1.07,-0.01,12.08,-19.27,-26.51
0.05,1.28,0.02,14.65,-15.69,-34.37
0.04,1.42,0.11,12.29,-13.83,-24.79
0.08,1.41,0.23,0.09,-7.36,7.35
0.10,1.44,0.29,-8.27,-4.76,16.09
0.11,1.4,0.28,-13.73,-7.73,15.45
0.13,1.37,0.21,-12.11,-2.2,11.21
0.14,1.35,0.18,-7.87,-0.13,1.76
0.17,1.35,0.16,-4.07,7.96,3.62
0.14,1.3,0.15,-1.92,16.4,0.21
0.10,1.23,0.12,-1.19,23.4,-1.64
0.06,1.17,0.1,-3.2,27.92,-3.38
0.03,1.13,0.09,-6.7,28.92,-3.47
0.01,1.06,0.09,-9.29,28.15,-0.23
0.02,1,0.05,-12.07,31.06,-2.48
0.01,0.93,0.07,-12.42,33.7,0.27
0.02,0.81,0.08,-12.84,41,0.9
0.00,0.75,0.12,-11.01,41.5,7.18
-0.04,0.64,0.13,-8.73,39.59,4.19
-0.07,0.58,0.15,-4.49,37.56,6.79
-0.06,0.51,0.14,-0.85,26.64,11.35
0.03,0.5,0.11,2.62,19.81,23.53
0.01,0.47,0.06,8.56,29.21,27.06
0.02,0.44,0.03,12.09,35.63,34.71
0.04,0.5,0.03,12.92,38.04,36.08
-0.06,0.64,0.09,8.92,25.47,0.39
-0.09,0.78,0.06,0.62,17.11,-24.85
-0.06,0.92,0.07,-13.81,8.44,-62.88
-0.18,1.05,0.05,-22.53,13.45,-65.5
0.20,1.45,0.09,-22.27,10.92,-33.3
0.26,1.55,0.08,-16.83,-4.66,-14.05
0.20,1.73,0.07,-7.61,-11.15,-15.95
0.18,1.63,0.09,3.31,-14.24,-10.22
0.18,1.55,0.1,11.05,-19.9,0.2
0.13,1.4,0.07,12.49,-24.8,-1.4
0.13,1.32,0.04,7.7,-27.57,2.61
0.17,1.29,0.02,3.07,-33.66,7.7
0.17,1.22,0.01,1.37,-39.24,5.39
0.11,1.15,0.01,0.82,-40.33,4.29
0.06,1.05,0.08,2.48,-43.08,-0.13
0.01,0.95,0.02,5.39,-39.44,-0.16
0.04,0.91,0.04,9.47,-34.63,11.23
0.15,0.79,0.03,9.79,-32.11,19.48
0.04,0.58,-0.05,7,-18.79,12.72
0.13,0.68,-0.02,4.56,-16.68,23.37
0.09,0.61,-0.02,3.4,-20.5,29.72
0.09,0.47,0.02,-1.13,-31.67,25.95
0.07,0.42,0,-2.25,-36.9,24.94
0.04,0.41,-0.01,-0.89,-40.08,21.69
0.02,0.42,0.04,1.18,-37.57,18.16
-0.12,0.49,-0.06,6.05,-31.75,11.47
-0.06,0.71,-0.02,10.54,-25.57,-6.04
-0.11,0.91,-0.01,14,-17.02,-30.61
-0.12,1.16,0,13.42,-12.65,-52.87
-0.04,1.37,-0.05,11.21,-11.22,-54.92
-0.06,1.49,-0.07,1.19,4.19,-32.19
-0.05,1.43,0.01,-11.34,20.47,-11.69
0.00,1.41,0.14,-14.01,37.24,23.03
0.13,1.29,0.21,-14.17,50.71,35.74
0.19,1.24,0.22,-13.74,48.05,23.59
0.22,1.3,0.22,-11.63,41.4,18.73
0.25,1.26,0.15,-8.98,43.86,15.31
0.24,1.22,0.12,-8.13,47.69,5.59
0.19,1.19,0.12,-9.56,51.32,-5.39
0.15,1.14,0.16,-13.72,54.4,-13.69
0.05,1.12,0.18,-17.69,51.76,-19.56
0.04,1.05,0.19,-23.92,54.42,-8.65
0.04,1.08,0.26,-25.11,52.56,0.31
0.02,1.04,0.26,-23.92,42.89,9.34
0.05,0.95,0.26,-17.2,34.04,12.78
0.03,0.85,0.21,-8.15,29.11,17.84
0.06,0.75,0.16,-1.02,26.79,19.76
0.09,0.66,0.13,2.9,32.68,17.38
0.06,0.58,0.13,2.3,33.89,9.24
0.05,0.53,0.1,0.3,32.63,6.27
0.04,0.5,0.1,-3.88,30.95,9.98
0.00,0.47,0.11,-4.54,27.39,17.51
-0.01,0.44,0.1,-1.6,21.89,21.8
0.04,0.45,-0.01,5.63,20.62,30.61
0.00,0.59,0.08,10.75,15.31,19.4
-0.03,0.86,0.02,10.64,7.56,-23.2
-0.08,1.05,0.1,1.88,-1.36,-49.67
-0.02,1.33,0.1,-9.87,-4.95,-55.02
0.08,1.53,0.13,-16.88,-4.43,-33.68
0.17,1.72,0.12,-15.43,-10.82,-8.76
0.12,1.67,0.07,-7.93,-13.1,1.55
0.10,1.64,0.13,-1.68,-14.95,6.03
0.19,1.46,0.22,0.66,-17.54,16.36
0.23,1.38,0.2,-1.23,-21.07,18.98
0.15,1.35,0.12,-2.4,-29.56,19.56
0.19,1.29,0.09,-1.02,-38.87,14.57
